en-CA;ESDPHMIR;213407;PhotoMirage;69.99;41.99;;40%;-40%;($28);41.99;;40%;-40%;($28);34.99;;50%;-50%;($35)
de-DE;ESDPHMIR;213407;PhotoMirage;59,99;41,99;;30 %;-30%;($18);41.99;;30%;-30%;($18);38.99;;35%;-35%;($21)
en-AU;ESDPHMIR;213407;PhotoMirage;99;69;;30%;-30%;($30);69;;30%;-30%;($30);64.35;;35%;-35%;($35)
en-GB;ESDPHMIR;213407;PhotoMirage;49.99;34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);32.49;;35%;-35%;($18)
en-US;ESDPHMIR;213407;PhotoMirage;69.99;41.99;;40%;-40%;($28);41.99;;40%;-40%;($28);34.99;;50%;-50%;($35)
fr-FR;ESDPHMIR;213407;PhotoMirage;59,99;41,99;;30 %;-30%;($18);41.99;;30%;-30%;($18);38.99;;35%;-35%;($21)
ja-JP;ESDPHMIR;213407;PhotoMirage;9,015;6,310;;30%;-30%;($2,705);6310;;30%;-30%;($2,705);5859;;35%;-35%;($3,156)
pt-BR;ESDPHMIR;213407;PhotoMirage;229;160;;30%;-30%;($69);160;;30%;-30%;($69);148;;35%;-35%;($81)
