en-CA;ESDPVS2020ULT;;220770;199.99;99.99;;50%;-50%;-$100
en-US;ESDPVS2020ULT;;220770;199.99;99.99;;50%;-50%;-$100
en-AU;ESDPVS2020ULT;;220770;298;193;;35%;-35%;-$105
pt-BR;ESDPVS2020ULT;;220770;778;505;;35%;-35%;-$273
de-LI;ESDPVS2020ULT;;220770;199.95;129.95;;35%;-35%;-$70
da-DK;ESDPVS2020ULT;;220770;1,398;908;;35%;-35%;-$490
de-DE;ESDPVS2020ULT;;220770;179,99;119,99;;33%;-33%;-$60
fr-FR;ESDPVS2020ULT;;220770;179,99;119,99;;33%;-33%;-$60
en-GB;ESDPVS2020ULT;;220770;179.99;119.99;;33%;-33%;-$60
it-IT;ESDPVS2020ULT;;220770;179,99;119,99;;33%;-33%;-$60
nl-NL;ESDPVS2020ULT;;220770;179,99;119,99;;33%;-33%;-$60
zh-HK;ESDPVS2020ULT;;220770;1560;1,014;;35%;-35%;-$546
ja-JP;ESDPVS2020ULT;;220770;27,580;17,880;;35%;-35%;-$9,700
ko-KR;ESDPVS2020ULT;;220770;220,000;143,000;;35%;-35%;-$77,000
es-MX;ESDPVS2020ULT;;220770;4,700;3,055;;35%;-35%;-$1,645
en-MY;ESDPVS2020ULT;;220770;840;546;;35%;-35%;-$294
nb-NO;ESDPVS2020ULT;;220770;1,598;1,038;;35%;-35%;-$560
en-NZ;ESDPVS2020ULT;;220770;338;219;;35%;-35%;-$119
pl-PL;ESDPVS2020ULT;;220770;798;518;;35%;-35%;-$280
se-SE;ESDPVS2020ULT;;220770;1,948;1,266;;35%;-35%;-$682
en-SG;ESDPVS2020ULT;;220770;298;193;;35%;-35%;-$105
zh-TW;ESDPVS2020ULT;;220770;7,600;4,940;;35%;-35%;-$2,660
en-ZA;ESDPVS2020ULT;;220770;2800;1820;;35%;-35%;-$980
