en-CA;ESDPSP2019ULML;214713;PSP_2019_ULT;99.99;79.99;;20%;-20%;($20)
en-CA;ESDPSP2019ULMUG;214714;PSP_2019_ULT;79.99;63.99;;20%;-20%;($16)
en-CA;PSP2019ULEFMBAM;5199501500;PSP_2019_ULT;99.99;79.99;;20%;-20%;($20)
en-CA;PSP2019ULEFMBUGAM;5199501600;PSP_2019_ULT;79.99;63.99;;20%;-20%;($16)
