da-DK;ESDPHMIR;213407;PhotoMirage;455;318;;30%;-30%;(-$137)
de-DE;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
de-LI;ESDPHMIR;213407;PhotoMirage;61.95;43.50;;30%;-30%;(-$18)
en-AU;ESDPHMIR;213407;PhotoMirage;99;69;;30%;-30%;(-$30)
en-CA;ESDPHMIR;213407;PhotoMirage;69.99;41.99;;40%;-40%;(-$28)
en-GB;ESDPHMIR;213407;PhotoMirage;49.99;34.99;;30%;-30%;(-$15)
en-IE;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
en-MY;ESDPHMIR;213407;PhotoMirage;275;192;;30%;-30%;(-$83)
en-NZ;ESDPHMIR;213407;PhotoMirage;109.99;76.99;;30%;-30%;(-$33)
en-SG;ESDPHMIR;213407;PhotoMirage;89.99;62.99;;30%;-30%;(-$27)
en-US;ESDPHMIR;213407;PhotoMirage;69.99;41.99;;40%;-40%;(-$28)
en-ZA;ESDPHMIR;213407;PhotoMirage;699;489;;30%;-30%;(-$210)
es-ES;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
es-MX;ESDPHMIR;213407;PhotoMirage;1199;839;;30%;-30%;(-$360)
fr-FR;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
it-IT;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
ja-JP;ESDPHMIR;213407;PhotoMirage;9015;6280;;30%;-30%;(-$2,735)
ko-KR;ESDPHMIR;213407;PhotoMirage;81999;57399;;30%;-30%;(-$24,600)
nb-NO;ESDPHMIR;213407;PhotoMirage;599;419;;30%;-30%;(-$180)
nl-NL;ESDPHMIR;213407;PhotoMirage;59.99;41.99;;30%;-30%;(-$18)
pl-PL;ESDPHMIR;213407;PhotoMirage;249;174;;30%;-30%;(-$75)
pt-BR;ESDPHMIR;213407;PhotoMirage;229;160;;30%;-30%;(-$69)
se-SE;ESDPHMIR;213407;PhotoMirage;649.99;454.99;;30%;-30%;(-$195)
zh-HK;ESDPHMIR;213407;PhotoMirage;549;384;;30%;-30%;(-$165)
zh-TW;ESDPHMIR;213407;PhotoMirage;2050;1435;;30%;-30%;(-$615)
en-RW;ESDPHMIR;213407;PhotoMirage;69.99;48.99;;30%;-30%;(-$21)
zh-TW;ESDPVS2020ML;220769;PVB_2020;2050;1435;;30%;-30%;(-$615)
en-RW;ESDPVS2020ML;220769;PVB_2020;69.99;48.99;;30%;-30%;(-$21)
