en-CA;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;59.99;;40%;-40%;(-$40)
en-CA;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.99;47.99;;40%;-40%;(-$32)
de-DE;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;64,99;;25 %;-28%;(-$25)
de-DE;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;49,99;;25 %;-29%;(-$20)
en-AU;ESDPSP2020ULML;221287;PSP_2020_ULT;149;111;;25%;-26%;(-$38)
en-AU;ESDPSP2020ULMUG;221398;PSP_2020_ULT;119;89;;25%;-25%;(-$30)
en-GB;ESDPSP2020ULML;221287;PSP_2020_ULT;89.99;64.99;;25%;-28%;(-$25)
en-GB;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69.99;49.99;;25%;-29%;(-$20)
en-US;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;59.99;;40%;-40%;(-$40)
en-US;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.99;47.99;;40%;-40%;(-$32)
fr-FR;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;64,99;;25 %;-28%;(-$25)
fr-FR;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;49,99;;25 %;-29%;(-$20)
it-IT;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;64,99;;25%;-28%;(-$25)
it-IT;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;49,99;;25%;-29%;(-$20)
ja-JP;ESDPSP2020ULML;221287;PSP_2020_ULT;13,800;10,280;;25%;-26%;(-$3,520)
ja-JP;ESDPSP2020ULMUG;221398;PSP_2020_ULT;9,480;7,080;;25%;-25%;(-$2,400)
nl-NL;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;64,99;;25%;-28%;(-$25)
nl-NL;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;49,99;;25%;-29%;(-$20)
pt-BR;ESDPSP2020ULML;221287;PSP_2020_ULT;389;291;;25%;-25%;(-$98)
pt-BR;ESDPSP2020ULMUG;221398;PSP_2020_ULT;309;231;;25%;-25%;(-$78)
