en-CA;CDTS2019MLDVD;5187381400;OL_DE19;1,199;1,019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2019ML;209744;OL_DE19;1,199;1,019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2019MLUG;209745;OL_DE19;515;437;;CA$ 75;-15%;($78)
de-DE;ESDCDTS2019ML;209744;OL_DE19;999;849;;15 %;-15%;($150)
de-DE;ESDCDTS2019MLUG;209745;OL_DE19;479;407;;15 %;-15%;($72)
en-AU;ESDCDTS2019ML;209744;OL_DE19;1,399;1,189;;15%;-15%;($210)
en-AU;ESDCDTS2019MLUG;209745;OL_DE19;599;509;;15%;-15%;($90)
en-GB;ESDCDTS2019ML;209744;OL_DE19;899.99;764.99;;15%;-15%;($135)
en-GB;ESDCDTS2019MLUG;209745;OL_DE19;439.99;373.99;;15%;-15%;($66)
en-US;CDTS2019MLDVD;5187381400;OL_DE19;999;849;;$150;-15%;($150)
en-US;ESDCDTS2019ML;209744;OL_DE19;999;849;;$150;-15%;($150)
en-US;ESDCDTS2019MLUG;209745;OL_DE19;429;364;;$65;-15%;($65)
fr-FR;ESDCDTS2019ML;209744;OL_DE19;999;849;;15 %;-15%;($150)
fr-FR;ESDCDTS2019MLUG;209745;OL_DE19;479;407;;15 %;-15%;($72)
ja-JP;ESDCDTS2019ML;209744;OL_DE19;151,200;128,480;;15%;-15%;($22,720)
ja-JP;ESDCDTS2019MLUG;209745;OL_DE19;75,600;64,280;;15%;-15%;($11,320)
