en-CA;ESDPTR2019ML;209759;PTR_2019;499;419;;CA$ 80;-16%;($80);
en-CA;ESDPTR2019MLUG;209760;PTR_2019;269;227;;CA$ 40;-16%;($42);
en-CA;PTR2019MLDP;5186621500;PTR_2019;499;419;;CA$ 80;-16%;($80);
en-CA;PTR2019MLDPUG;5186621600;PTR_2019;269;227;;CA$ 40;-16%;($42);
de-DE;ESDPTR2019ML;209759;PTR_2019;424,95;359,95;;15 %;-15%;($65);0
de-DE;ESDPTR2019MLUG;209760;PTR_2019;218,95;184,95;;15 %;-16%;($34);
en-AU;ESDPTR2019ML;209759;PTR_2019;614;521;;15%;-15%;($93);
en-AU;ESDPTR2019MLUG;209760;PTR_2019;328;278;;15%;-15%;($50);
en-GB;ESDPTR2019ML;209759;PTR_2019;359.99;304.99;;15%;-15%;($55);
en-GB;ESDPTR2019MLUG;209760;PTR_2019;179.99;152.99;;15%;-15%;($27);
en-US;ESDPTR2019ML;209759;PTR_2019;429;359;;$70;-16%;($70);
en-US;ESDPTR2019MLUG;209760;PTR_2019;229;189;;$40;-17%;($40);
en-US;PTR2019MLDP;5186621500;PTR_2019;429;359;;$70;-16%;($70);
en-US;PTR2019MLDPUG;5186621600;PTR_2019;229;189;;$40;-17%;($40);
fr-FR;ESDPTR2019ML;209759;PTR_2019;424,95;359,95;;15 %;-15%;($65);
fr-FR;ESDPTR2019MLUG;209760;PTR_2019;218,95;184,95;;15 %;-16%;($34);
ja-JP;ESDPTR2019ML;209759;PTR_2019;53,784;45,716;;15%;-15%;($8,068);
ja-JP;ESDPTR2019MLUG;209760;PTR_2019;26,784;22,766;;15%;-15%;($4,018);
