Currency Region;Site SKU;Partner PID;Product Name;List Price;Sale Price;Promo;Savings;Value Add
se-SE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;2,045.33;;;SEK 170.44;44%
se-SE;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;339;;;;
se-SE;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;3,599;;;SEK 286.50;15%
zh-HK;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;233;;;;
zh-HK;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1,538;;;HK$128;55%
zh-HK;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;299;;;;
zh-HK;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;2,599;;;HK$245.00;23%
zh-TW;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;999;;;;
zh-TW;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;6,534;;;NT$544;45
zh-TW;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;1,199;;;;
zh-TW;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;9,999;;;NT$952;23%
