en-CA;ESDPSP2019ULML;201220;PSP_2018_ULT;99.99;64.99;;35%;-50%;($40)
en-CA;ESDPSP2019ULMUG;201221;PSP_2018_ULT;79.99;51.99;;35%;-50%;($30)
de-DE;ESDPSP2019ULML;201220;PSP_2018_ULT;89,99;44,99;;35 %;-36%;($25)
de-DE;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69,99;31,99;;35 %;-36%;($18)
en-GB;ESDPSP2019ULML;201220;PSP_2018_ULT;89.99;44.99;;35%;-36%;($25)
en-GB;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69.99;31.99;;35%;-36%;($18)
en-US;ESDPSP2019ULML;201220;PSP_2018_ULT;99.99;64.99;;35%;-50%;($40)
en-US;ESDPSP2019ULMUG;201221;PSP_2018_ULT;79.99;51.99;;35%;-50%;($30)
fr-FR;ESDPSP2019ULML;201220;PSP_2018_ULT;89,99;44,99;;35 %;-36%;($25)
fr-FR;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69,99;31.99;;35 %;-36%;($18)
ja-JP;ESDPSP2019ULML;201220;PSP_2018_ULT;13,824;8,980;;35%;-35%;($3,395)
ja-JP;ESDPSP2019ULMUG;201221;PSP_2018_ULT;9,504;6,180;;35%;-35%;($2,261)
