en-AU;ESDWPX8STDENFR;168162;OL_WP18;399.95;319.95;;20%;-20%;($80)
en-AU;ESDWPX8STDENFRUG;168198;OL_WP18;199.95;159.95;;20%;-20%;($40)
en-CA;ESDWPX8STDENFR;168162;OL_WP18;324.99;259.99;;CA$ 65;-20%;($65)
en-CA;ESDWPX8STDENFRUG;168198;OL_WP18;207.99;164.99;;CA$ 40;-21%;($43)
en-GB;ESDWPX8STDENFR;168162;OL_WP18;319.99;249.99;;20%;-22%;($70)
en-GB;ESDWPX8STDENFRUG;168198;OL_WP18;154.99;119.99;;20%;-23%;($35)
en-IE;ESDWPX8STDENFR;168162;OL_WP18;414.99;329.99;;20%;-20%;($85)
en-IE;ESDWPX8STDENFRUG;168198;OL_WP18;204.99;159.99;;20%;-22%;($45)
en-US;ESDWPX8STDENFR;168162;OL_WP18;249.99;199.99;;$50;-20%;($50)
en-US;ESDWPX8STDENFRUG;168198;OL_WP18;159.99;124.99;;$35;-22%;($35)
ja-JP;ESDWPX8STDENFR;168162;OL_WP18;44,021;;;;;
ja-JP;ESDWPX8STDENFRUG;168198;OL_WP18;20,365;;;;;
pt-BR;ESDWPX8STDENFR;857301900;OL_WP18;500;;;;;
pt-BR;ESDWPX8STDENFRUG;857302000;OL_WP18;330;;;;;
