en-CA;ESDPSP2020ML;214711;PSP_2020_PRO;79.99;;;;;;;
en-CA;ESDPSP2020MLUG;214712;PSP_2020_PRO;59.99;;;;;;;
da-DK;ESDPSP2020ML;214711;PSP_2020_PRO;549;;;;;;;0
da-DK;ESDPSP2020MLUG;214712;PSP_2020_PRO;399;;;;;;;
de-DE;ESDPSP2020ML;214711;PSP_2020_PRO;69,99;;;;;;;
de-DE;ESDPSP2020MLUG;214712;PSP_2020_PRO;49,99;;;;;;;
de-LI;ESDPSP2020ML;214711;PSP_2020_PRO;79.95;;;;;;;
de-LI;ESDPSP2020MLUG;214712;PSP_2020_PRO;59.95;;;;;;;
en-AU;ESDPSP2020ML;214711;PSP_2020_PRO;119;;;;;;;
en-AU;ESDPSP2020MLUG;214712;PSP_2020_PRO;89;;;;;;;
en-GB;ESDPSP2020ML;214711;PSP_2020_PRO;69.99;;;;;;;
en-GB;ESDPSP2020MLUG;214712;PSP_2020_PRO;49.99;;;;;;;
en-IE;ESDPSP2020ML;214711;PSP_2020_PRO;69.99;;;;;;;
en-IE;ESDPSP2020MLUG;214712;PSP_2020_PRO;49.99;;;;;;;
en-MY;ESDPSP2020ML;214711;PSP_2020_PRO;335;;;;;;;
en-MY;ESDPSP2020MLUG;214712;PSP_2020_PRO;250;;;;;;;
en-NZ;ESDPSP2020ML;214711;PSP_2020_PRO;134;;;;;;;
en-NZ;ESDPSP2020MLUG;214712;PSP_2020_PRO;99;;;;;;;
en-SG;ESDPSP2020ML;214711;PSP_2020_PRO;99;;;;;;;
en-SG;ESDPSP2020MLUG;214712;PSP_2020_PRO;79;;;;;;;
en-US;ESDPSP2020ML;214711;PSP_2020_PRO;79.99;;;;;;;
en-US;ESDPSP2020MLUG;214712;PSP_2020_PRO;59.99;;;;;;;
en-ZA;ESDPSP2020ML;214711;PSP_2020_PRO;1 100;;;;;;;
en-ZA;ESDPSP2020MLUG;214712;PSP_2020_PRO;825;;;;;;;
es-ES;ESDPSP2020ML;214711;PSP_2020_PRO;69,99;;;;;;;
es-ES;ESDPSP2020MLUG;214712;PSP_2020_PRO;49,99;;;;;;;
es-MX;ESDPSP2020ML;214711;PSP_2020_PRO;1,900;;;;;;;
es-MX;ESDPSP2020MLUG;214712;PSP_2020_PRO;1,400;;;;;;;
fr-FR;ESDPSP2020ML;214711;PSP_2020_PRO;69,99;;;;;;;
fr-FR;ESDPSP2020MLUG;214712;PSP_2020_PRO;49,99;;;;;;;
it-IT;ESDPSP2020ML;214711;PSP_2020_PRO;69,99;;;;;;;
it-IT;ESDPSP2020MLUG;214712;PSP_2020_PRO;49,99;;;;;;;
ja-JP;ESDPSP2020ML;214711;PSP_2020_PRO;9,680;;;;;;;
ja-JP;ESDPSP2020MLUG;214712;PSP_2020_PRO;6,480;;;;;;;
ko-KR;ESDPSP2020ML;214711;PSP_2020_PRO;88,000;;;;;;;
ko-KR;ESDPSP2020MLUG;214712;PSP_2020_PRO;67,000;;;;;;;
nb-NO;ESDPSP2020ML;214711;PSP_2020_PRO;599;;;;;;;
nb-NO;ESDPSP2020MLUG;214712;PSP_2020_PRO;429;;;;;;;
nl-NL;ESDPSP2020ML;214711;PSP_2020_PRO;69,99;;;;;;;
nl-NL;ESDPSP2020MLUG;214712;PSP_2020_PRO;49,99;;;;;;;
pl-PL;ESDPSP2020ML;214711;PSP_2020_PRO;299;;;;;;;
pl-PL;ESDPSP2020MLUG;214712;PSP_2020_PRO;229;;;;;;;
pt-BR;ESDPSP2020ML;214711;PSP_2020_PRO;309;;;;;;;
pt-BR;ESDPSP2020MLUG;214712;PSP_2020_PRO;229;;;;;;;
se-SE;ESDPSP2020ML;214711;PSP_2020_PRO;769;;;;;;;
se-SE;ESDPSP2020MLUG;214712;PSP_2020_PRO;539;;;;;;;
zh-HK;ESDPSP2020ML;214711;PSP_2020_PRO;620;;;;;;;
zh-HK;ESDPSP2020MLUG;214712;PSP_2020_PRO;470;;;;;;;
zh-TW;ESDPSP2020ML;214711;PSP_2020_PRO;3,200;;;;;;;
zh-TW;ESDPSP2020MLUG;214712;PSP_2020_PRO;2,600;;;;;;;
en-RW;ESDPSP2020ML;214711;PSP_2020_PRO;79.99;;;;;;;
en-RW;ESDPSP2020MLUG;214712;PSP_2020_PRO;59.99;;;;;;;
