de-DE;ESDPTRPLPART;161829;ParticleShop;49,95;;;;;;1
en-AU;ESDPTRPLPART;161829;ParticleShop;69.95;;;;;;
en-CA;ESDPTRPLPART;161829;ParticleShop;49.99;;;;;;
en-GB;ESDPTRPLPART;161829;ParticleShop;44.99;;;;;;
en-IE;ESDPTRPLPART;161829;ParticleShop;49.95;;;;;;
en-NZ;ESDPTRPLPART;161829;ParticleShop;74.95;;;;;;
en-US;ESDPTRPLPART;161829;ParticleShop;49.99;;;;;;
es-MX;ESDPTRPLPART;161829;ParticleShop;785;;;;;;
fr-FR;ESDPTRPLPART;161829;ParticleShop;49,95;;;;;;
ja-JP;ESDPTRPLPART;161829;ParticleShop;6,150;;;;;;
pt-BR;ESDPTRPLPART;161829;ParticleShop;158;;;;;;
