;60968;150577;Full - Upsell 279;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=168162&recommendation=dixselleu,WPOPRO-279-newcfg&cookie=true&cfg=corel2018_condensed
;60968;150578;Full - Upsell 279;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=168162&recommendation=dixsellrow,WPOPRO-279-newcfg&cookie=true&cfg=corel2018_condensed
;60968;150579;Full - Upsell 239;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=168162&recommendation=dixselleu,WPOPRO-239-newcfg&cookie=true&cfg=corel2018_condensed
;60968;150580;Full - Upsell 239;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=168162&recommendation=dixsellrow,WPOPRO-239-newcfg&cookie=true&cfg=corel2018_condensed
;60986;150581;Upgrade - Upsell 179;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=168198&recommendation=dixselleu,WPOPRO-179-newcfg&cookie=true&cfg=corel2018_condensed
;60986;150582;Upgrade - Upsell 179;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=168198&recommendation=dixsellrow,WPOPRO-179-newcfg&cookie=true&cfg=corel2018_condensed
;60986;150583;Upgrade - Upsell 154;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=168198&recommendation=dixselleu,WPOPRO-154-newcfg&cookie=true&cfg=corel2018_condensed
;60986;150584;Upgrade - Upsell 154;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=168198&recommendation=dixsellrow,WPOPRO-154-newcfg&cookie=true&cfg=corel2018_condensed
;61637;150585;Full;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=169627&recommendation=dixselleu&cookie=true&cfg=corel2018_condensed
;61637;150586;Full;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=169627&recommendation=dixsellrow&cookie=true&cfg=corel2018_condensed
;60985;150587;Upgrade;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=169628&recommendation=dixselleu&cookie=true&cfg=corel2018_condensed
;60985;150588;Upgrade;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=169628&recommendation=dixsellrow&cookie=true&cfg=corel2018_condensed
;61730;150589;Full;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=169914&recommendation=dixselleu&cookie=true&cfg=corel2018_condensed
;61730;150590;Full;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=169914&recommendation=dixsellrow&cookie=true&cfg=corel2018_condensed
;64937;150609;Full;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190166&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64937;150610;Full;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190166&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64937;150611;Full;ES;EUR;https://store.corel.com/1103/?scope=checkout&cart=190166&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64937;150612;Full;ES;USD;https://store.corel.com/1103/?scope=checkout&cart=190166&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64938;150613;Upgrade;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190167&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64938;150614;Upgrade;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190167&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64938;150615;Upgrade;ES;EUR;https://store.corel.com/1103/?scope=checkout&cart=190167&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64938;150616;Upgrade;ES;USD;https://store.corel.com/1103/?scope=checkout&cart=190167&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64981;150617;Full;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190172&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64981;150618;Full;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190172&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64981;150619;Full;ES;EUR;https://store.corel.com/1103/?scope=checkout&cart=190172&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64981;150620;Full;ES;USD;https://store.corel.com/1103/?scope=checkout&cart=190172&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64982;150621;Upgrade;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190173&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64982;150622;Upgrade;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190173&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64982;150623;Upgrade;ES;EUR;https://store.corel.com/1103/?scope=checkout&cart=190173&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64982;150624;Upgrade;ES;USD;https://store.corel.com/1103/?scope=checkout&cart=190173&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64939;150625;Full;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190168&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64939;150626;Full;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190168&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64939;150627;Full;ES;EUR;https://store.corel.com/1103/?scope=checkout&cart=190168&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64939;150628;Full;ES;USD;https://store.corel.com/1103/?scope=checkout&cart=190168&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
;64947;150629;Upgrade;DE;EUR;https://store.corel.com/1103/?scope=checkout&cart=190169&recommendation=eudi&cookie=true&cfg=corel2018_condensed
;64947;150630;Upgrade;EN;USD;https://store.corel.com/1103/?scope=checkout&cart=190169&recommendation=rowdi&cookie=true&cfg=corel2018_condensed
