de-DE;ESDPTR2019ML;192507;PTR_2019;424,95;189,95;;55 %;-55%;-$235
de-DE;ESDPTR2019MLUG;192509;PTR_2019;218,95;97,95;;55 %;-55%;-$121
en-AU;ESDPTR2019ML;192507;PTR_2019;614;276;;55%;-55%;-$236
en-AU;ESDPTR2019MLUG;192509;PTR_2019;328;147;;55%;-55%;-$126
en-CA;ESDPTR2019ML;192507;PTR_2019;499;224;;CA$ 275;-55%;-$275
en-CA;ESDPTR2019MLUG;192509;PTR_2019;269;119;;CA$ 150;-56%;-$150
en-GB;ESDPTR2019ML;192507;PTR_2019;359.99;159.99;;55%;-56%;-$200
en-GB;ESDPTR2019MLUG;192509;PTR_2019;179.99;79.99;;55%;-56%;-$100
en-IE;ESDPTR2019ML;192507;PTR_2019;424.95;189.95;;55%;-55%;-$235
en-IE;ESDPTR2019MLUG;192509;PTR_2019;218.95;97.95;;55%;-55%;-$121
en-NZ;ESDPTR2019ML;192507;PTR_2019;539;242;;55%;-55%;-$297
en-NZ;ESDPTR2019MLUG;192509;PTR_2019;269;120;;55%;-55%;-$149
en-US;ESDPTR2019ML;192507;PTR_2019;429;199;;$230;-54%;-$230
en-US;ESDPTR2019MLUG;192509;PTR_2019;229;99;;$130;-57%;-$130
fr-FR;ESDPTR2019ML;192507;PTR_2019;424,95;189,95;;55 %;-55%;-$235
fr-FR;ESDPTR2019MLUG;192509;PTR_2019;218,95;97,95;;55 %;-55%;-$121
ja-JP;ESDPTR2019ML;192507;PTR_2019;53,784;24,202;;55%;-55%;"-$29;582"
ja-JP;ESDPTR2019MLUG;192509;PTR_2019;26,784;12,052;;55%;-55%;"-$14;732"
