en-CA;ESDPHMIR;213407;PhotoMirage;69.99;45.49;;35%;-35%;($25);41.99;;40%;-40%;($28);41.99;;40%;-40%;($28);34.99;;50%;-50%;($35)
de-DE;ESDPHMIR;213407;PhotoMirage;59,99;44,99;;25%;-25%;($15);41.99;;30%;-30%;($18);41.99;;30%;-30%;($18);38.99;;35%;-35%;($21)
en-AU;ESDPHMIR;213407;PhotoMirage;99;74.25;;25%;-25%;($25);69;;30%;-30%;($30);69;;30%;-30%;($30);64.35;;35%;-35%;($35)
en-GB;ESDPHMIR;213407;PhotoMirage;49.99;37.49;;25%;-25%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);32.49;;35%;-35%;($18)
en-US;ESDPHMIR;213407;PhotoMirage;69.99;45.49;;35%;-35%;($25);41.99;;40%;-40%;($28);41.99;;40%;-40%;($28);34.99;;50%;-50%;($35)
fr-FR;ESDPHMIR;213407;PhotoMirage;59,99;44,99;;25%;-25%;($15);41.99;;30%;-30%;($18);41.99;;30%;-30%;($18);38.99;;35%;-35%;($21)
ja-JP;ESDPHMIR;213407;PhotoMirage;9,015;6,761;;25%;-25%;($2,254);6310;;30%;-30%;($2,705);6310;;30%;-30%;($2,705);5859;;35%;-35%;($3,156)
pt-BR;ESDPHMIR;213407;PhotoMirage;229;171;;25%;-25%;($58);160;;30%;-30%;($69);160;;30%;-30%;($69);148;;35%;-35%;($81)
